"","neighbour_3cm","neighbour_6cm","neighbour_9cm","neighbour_12cm"
"1",6045565492,6496120126,7795344151,7.404238749
"2",6496120126,6724902121,7404238749,7.795344151
"3",7116007523,6887225529,8415231549,7.703643524
"4",7344789518,7116007523,7669436334,7.795344151
"5",6207888901,7116007523,7633020743,7.344789518
"6",6496120126,7795344151,6105014724,7.344789518
"7",7116007523,7766402124,7013133346,7.116007523
"8",6724902121,6105014724,7116007523,7.507112926
"9",6887225529,745801712,1078492582,9.611581397
"10",8502210426,9485673579,1091083363,9.611581397
"11",8644013543,9611581397,1091083363,9.611581397
"12",8851500715,8312357371,1091083363,10.91080542
"13",8323530921,8312357371,1091083363,9.611581397
"14",7943382092,8312357371,1091083363,9.611581397
"15",7633020743,9611581397,8312357371,8.186449554
"16",7344789518,8024126146,9611581397,8.024126146
"17",8186449554,6724902121,7116007523,6.887225529
"18",7849122522,5713909321,7278330932,9.611581397
"19",8502210426,7985197206,7507112926,7.766402124
"20",9002867549,7795344151,7766402124,7.278330932
"21",9094568177,6887225529,7116007523,7.633020743
"22",7795344151,7278330932,6724902121,8.186449554
"23",8186449554,7404238749,6724902121,7.795344151
