EE_3cm;neighbour_3cm;EE_6cm;neighbour_6cm;EE_9cm;neighbour_9cm;EE_12cm;neighbour_12cm;separate
6.105014724;6.045565492;6.496120126;6.496120126;6.496120126;7.795344151;6.887225529;7.404238749;8.312357371
6.496120126;6.496120126;6.496120126;6.724902121;6.496120126;7.404238749;6.105014724;7.795344151;8.502210426
6.467178099;7.116007523;6.045565492;6.887225529;7.202986401;8.415231549;6.207888901;7.703643524;8.703462774
6.105014724;7.344789518;5.903762376;7.116007523;5.196896101;7.669436334;6.66545289;7.795344151;8.312357371
6.496120126;6.207888901;6.743403641;7.116007523;6.158793095;7.633020743;6.467178099;7.344789518;8.312357371
6.496120126;6.496120126;6.724902121;7.795344151;6.811880998;6.105014724;6.253052664;7.344789518;7.013133346
5.903762376;7.116007523;6.207888901;7.766402124;6.724902121;7.013133346;6.294867778;7.116007523;7.633020743
6.105014724;6.724902121;5.196896101;6.105014724;5.425678095;7.116007523;6.207888901;7.507112926;7.013133346
6.105014724;6.887225529;6.158793095;7.45801712;7.795344151;10.78492582;8.312357371;9.611581397;7.795344151
6.887225529;8.502210426;6.858283502;9.485673579;9.485673579;10.91083363;8.312357371;9.611581397;8.213979201
7.202986401;8.644013543;8.312357371;9.611581397;9.611581397;10.91083363;8.312357371;9.611581397;8.312357371
7.964676915;8.851500715;9.611581397;8.312357371;9.611581397;10.91083363;8.312357371;10.91080542;9.611581397
6.966085621;8.323530921;9.611581397;8.312357371;9.611581397;10.91083363;9.611581397;9.611581397;9.611581397
7.943382092;7.943382092;8.312357371;8.312357371;9.611581397;10.91083363;9.611581397;9.611581397;8.312357371
7.013133346;7.633020743;7.013133346;9.611581397;na;8.312357371;8.312357371;8.186449554;8.312357371
6.207888901;7.344789518;7.594091803;8.024126146;8.024126146;9.611581397;7.898218329;8.024126146;7.822873798
6.887225529;8.186449554;8.644013543;6.724902121;6.724902121;7.116007523;6.496120126;6.887225529;7.795344151
7.795344151;7.849122522;7.507112926;5.713909321;6.523649773;7.278330932;6.724902121;9.611581397;8.186449554
5.425678095;6.496120126;8.757241145;7.116007523;6.158793095;8.415231549;6.045565492;na;7.344789518
6.724902121;8.502210426;7.202986401;7.985197206;7.45801712;7.507112926;9.611581397;7.766402124;8.186449554
9.611581397;9.002867549;7.278330932;7.795344151;7.45801712;7.766402124;9.611581397;7.278330932;5.816783498
9.220475994;9.094568177;7.202986401;6.887225529;6.436670895;7.116007523;6.467178099;7.633020743;6.294867778
8.502210426;7.795344151;7.921251969;7.278330932;na;6.724902121;8.502210426;8.186449554;6.724902121
6.887225529;8.186449554;7.73589492;7.404238749;6.724902121;6.724902121;6.496120126;7.795344151;6.105014724
